currency,observation_date,tenor,rate
EUR,2023-12-31,0.00274,0.040536
EUR,2023-12-31,0.019178,0.040553
EUR,2023-12-31,0.082192,0.040546
EUR,2023-12-31,0.167123,0.040875
EUR,2023-12-31,0.249315,0.04107
EUR,2023-12-31,0.331507,0.040849
EUR,2023-12-31,0.413699,0.040555
EUR,2023-12-31,0.49863,0.04025
EUR,2023-12-31,0.580822,0.039874
EUR,2023-12-31,0.665753,0.039467
EUR,2023-12-31,0.747945,0.039074
EUR,2023-12-31,0.832877,0.038282
EUR,2023-12-31,0.915068,0.038282
EUR,2023-12-31,1.5,0.030669
EUR,2023-12-31,2,0.030929663
EUR,2023-12-31,3,0.028308436
EUR,2023-12-31,4,0.026789483
EUR,2023-12-31,5,0.024169
EUR,2023-12-31,6,0.02414
EUR,2023-12-31,7,0.024246
EUR,2023-12-31,8,0.024416
EUR,2023-12-31,9,0.024622
EUR,2023-12-31,10,0.02487
EUR,2023-12-31,11,0.025115
EUR,2023-12-31,12,0.02536
EUR,2023-12-31,13,0.025478
EUR,2023-12-31,14,0.02470528
EUR,2023-12-31,15,0.02571
EUR,2023-12-31,16,0.025598
EUR,2023-12-31,17,0.024698082
EUR,2023-12-31,18,0.02469735
EUR,2023-12-31,19,0.024696927
EUR,2023-12-31,20,0.025126
CZK,2023-12-31,1.0,1.2
CZK,2023-12-31,2.0,1.3
CZK,2023-12-31,3.0,1.4
CZK,2023-12-31,5.0,1.8
CZK,2023-12-31,10.0,2.3
